timestamp_open,timestamp_close,duration_sec,symbol,side,entry_price,exit_price,qty,notional_entry,pnl_usdt,pnl_pct,result,confidence,bucket,score,ev,regime,agreement,adx,atr,spread_bps,funding_rate,exit_reason,strategy_id
1778346005.859815,1778346049.8516421,43.99182724952698,NILUSDT,long,0.0655,0.06561,305342.0,19999.901,11.569256,0.0578,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.000262,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345967.879282,1778346058.5633986,90.68411660194397,TONUSDT,long,2.4249,2.4249,8248.0,20000.5752,-18.291162,-0.0915,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.0096978,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346003.2376902,1778346061.9669678,58.72927761077881,TONUSDT,long,2.4249,2.4249,8248.0,20000.5752,-18.291162,-0.0915,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.0096996,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346005.8593757,1778346066.5132225,60.653846740722656,TONUSDT,long,2.4249,2.4286,8248.0,20000.5752,8.500183,0.0425,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.0096996,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345996.1231134,1778346068.3568149,72.23370146751404,TONUSDT,long,2.4249,2.4286,8248.0,20000.5752,8.500183,0.0425,WIN,0.8047,0.75+,0.7292,0.000358,breakout,3,0.0,0.06559286,0.41,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345996.163136,1778346075.735082,79.57194590568542,TONUSDT,long,2.4249,2.4286,8248.0,20000.5752,8.500183,0.0425,WIN,0.8047,0.75+,0.7305,0.000748,breakout,3,0.0,0.06559286,0.41,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346063.760457,1778346115.6766577,51.91620063781738,COREUSDT,short,0.04381,0.04372,600000.0,26286.0,8.3717,0.0318,WIN,0.5531,0.55-0.60,0.4505,-0.003384,chop,3,0.0,0.00163571,9.14,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346084.8313584,1778346115.9761362,31.14477777481079,OPENUSDT,short,0.19391,0.19376,50000.0,9695.5,-13.82185,-0.1426,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.00077564,0.0,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346084.8322804,1778346116.3202639,31.487983465194702,JASMYUSDT,long,0.006725,0.006723,1490090.0,10020.8553,-14.001482,-0.1397,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,2.69e-05,0.0,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346071.660636,1778346117.5764942,45.91585826873779,COREUSDT,short,0.04381,0.04372,600000.0,26286.0,8.3717,0.0318,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.00017536,0.0,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346071.6610217,1778346117.9407575,46.279735803604126,JASMYUSDT,long,0.006725,0.006723,1490090.0,10020.8553,-14.001482,-0.1397,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,2.69e-05,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346101.2350352,1778346118.2385974,17.003562211990356,OPENUSDT,short,0.19391,0.19376,50000.0,9695.5,-13.82185,-0.1426,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.00077564,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346076.4499822,1778346119.5390284,43.089046239852905,OPENUSDT,short,0.19391,0.19376,50000.0,9695.5,-13.82185,-0.1426,LOSS,0.5639,0.55-0.60,0.3977,-0.009027,chop,3,0.0,0.00444643,3.61,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
